# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "/data/input.gtf" "-o" "/data/output/featureCounts.tsv" "-T" "1" "-s" "0" "-p" "/data/input.bam"
Geneid	Chr	Start	End	Strand	Length	/data/input.bam
ENSG00000176515	6;6;6	1080164;1101304;1102041	1080229;1101531;1105181	+;+;+	3435	0
ENSG00000238438	6	1186753	1186855	+	103	0
ENSG00000164379	6	1312675	1314992	+	2318	0
ENSG00000261730	6	1384025	1385301	-	1277	0
ENSG00000137273	6;6	1390069;1394931	1391353;1395832	+;+	2187	0
ENSG00000243439	6	1507557	1507851	+	295	0
ENSG00000218027	6	1513933	1515524	-	1592	0
ENSG00000272279	6	1528599	1529146	-	548	0
ENSG00000054598	6	1610681	1614127	+	3447	0
ENSG00000112699	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	1624041;1624041;1624041;1624041;1624041;1624042;1624707;1624707;1624707;1624707;1624707;1624707;1624880;1625332;1626352;1679406;1717742;1717829;1726650;1726650;1726650;1726650;1726650;1742702;1742702;1742702;1742702;1930337;1930337;1930337;1930337;1930341;1959940;1960101;1960101;1960101;1960101;1961008;1961008;1961008;1961008;1961008;2043570;2116005;2116005;2117703;2117703;2124921;2124921;2176166;2245555	1624466;1624466;1624466;1624466;1624466;1624466;1624775;1624775;1624775;1624775;1624775;1624775;1624975;1625736;1626423;1680160;1717877;1717877;1726746;1726711;1726746;1726746;1726746;1742820;1742820;1742820;1742820;1930464;1931233;1930464;1930464;1930464;1960205;1960205;1960205;1960205;1960205;1961143;1961200;1961024;1961200;1961200;2043667;2116114;2116114;2117790;2117790;2124965;2124965;2176225;2245926	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4304	22
ENSG00000250903	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	2245982;2246002;2246002;2246005;2246011;2246016;2246059;2246075;2246076;2246087;2246089;2249071;2249071;2249071;2249071;2249071;2249071;2249071;2249071;2249071;2249071;2249071;2263835;2263835;2263835;2263835;2263835;2263835;2263835;2263835;2263835;2269932;2269932;2269932;2269932;2269932;2272050;2283733;2283733;2306527;2329517;2329517;2352573;2367178;2391780;2397455;2397455;2397455;2398811;2398811;2398811;2398811;2398811;2398811;2398891;2399100;2399100;2399100;2399100;2399117;2412721;2413014;2413014;2452645;2454198;2481068;2481068;2482221	2246164;2246164;2246164;2246164;2246164;2246164;2246164;2246164;2246164;2246164;2246164;2249160;2249160;2249160;2249160;2249160;2249160;2249160;2249160;2249160;2249160;2249160;2263918;2263918;2263918;2263918;2264362;2263918;2263918;2263918;2263918;2270033;2270247;2270033;2270033;2270033;2273651;2284007;2284008;2306760;2329638;2329566;2352936;2367549;2399012;2397860;2397860;2397580;2399012;2399012;2398981;2399000;2398898;2399012;2399012;2399271;2399271;2399271;2399271;2399235;2413782;2413825;2413064;2452794;2454255;2481352;2481403;2482256	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	13177	2
ENSG00000236086	6;6	2341684;2341684	2341945;2341950	+;+	267	0
ENSG00000266252	6	2409770	2409869	-	100	0
ENSG00000272465	6	2437783	2438483	+	701	0
ENSG00000164385	6;6;6	2622147;2633839;2634799	2624353;2634026;2634837	-;-;-	2434	0
ENSG00000228718	6;6	2637170;2639922	2637689;2640235	+;+	834	0
ENSG00000145949	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	2663863;2663871;2671510;2671510;2675281;2675281;2678454;2678454;2679514;2679514;2680455;2683255;2683255;2685530;2685530;2685717;2685717;2689085;2689085;2693018;2693018;2749370;2749370;2750970;2750970	2668133;2668133;2671582;2671582;2675359;2675359;2678606;2678606;2679642;2679713;2680525;2683396;2683396;2685639;2685639;2685810;2685810;2689190;2689190;2693093;2693093;2749640;2749640;2751200;2751154	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5877	0
ENSG00000124535	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	2765648;2765648;2766286;2768925;2768925;2768925;2769007;2770354;2770354;2770354;2770429;2779497;2779497;2779497;2779497;2783640;2783640;2783640;2783640;2784558;2784558;2784558;2784558;2785241;2785241;2785241;2785241	2766678;2766678;2766678;2769116;2769116;2769116;2769116;2770595;2770595;2770595;2770595;2779726;2779726;2779726;2779726;2783795;2783795;2783795;2783795;2784637;2784637;2784637;2784637;2785979;2787186;2785979;2785979	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3877	16
ENSG00000021355	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	2832566;2833642;2833746;2836090;2836090;2836090;2836342;2836342;2836342;2836342;2836342;2838116;2838116;2838116;2838116;2838116;2838783;2838783;2838783;2838783;2838783;2839569;2840653;2840653;2840653;2840653;2840653;2841450;2841831;2842046;2842046;2842046;2842046	2834246;2834246;2833933;2836257;2836257;2836257;2836484;2836484;2836484;2836484;2836484;2838233;2838233;2838233;2838233;2838233;2838920;2838920;2838920;2838920;2838920;2839700;2840828;2840828;2840719;2840828;2840828;2841709;2842096;2842082;2842193;2842094;2842240	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3226	0
ENSG00000266750	6	2854265	2854341	-	77	0
ENSG00000230438	6;6;6;6;6;6	2854896;2855160;2858145;2876527;2876527;2881519	2855924;2855924;2858229;2876744;2876659;2881641	-;-;-;-;-;-	1455	0
ENSG00000170542	6;6;6;6;6;6;6	2887500;2892067;2893645;2895625;2896287;2900678;2903435	2890804;2892222;2893787;2895742;2896424;2900855;2903514	-;-;-;-;-;-;-	4118	26
ENSG00000232999	6;6	2910847;2912224	2910915;2912347	-;-	193	0
ENSG00000228365	6;6	2917128;2917596	2917239;2917967	+;+	484	0
ENSG00000124570	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	2948393;2948393;2948393;2948393;2948393;2948393;2949148;2949148;2949148;2949148;2949148;2949148;2953278;2953278;2953278;2953278;2953278;2953278;2954826;2954826;2954826;2954826;2954826;2954826;2955758;2955758;2955758;2955758;2955758;2955758;2959402;2959402;2959402;2959402;2959402;2959402;2962128;2971351;2971482;2971725;2971767	2948933;2948933;2948933;2948933;2948933;2948933;2949303;2949303;2949303;2949303;2949303;2949303;2953420;2953420;2953420;2953420;2953420;2953420;2954943;2954943;2954943;2954943;2954943;2954943;2955904;2955904;2955904;2955904;2955904;2955904;2959576;2959576;2959576;2959576;2959576;2961561;2962342;2971440;2971539;2971819;2972090	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3994	2
ENSG00000244041	6;6;6;6;6;6;6;6;6;6	2988201;2988201;2988662;2988882;2988892;2988933;2989762;2989762;2989762;2990103	2988265;2988265;2991400;2988943;2988943;2991401;2989967;2990486;2990582;2991407	+;+;+;+;+;+;+;+;+;+	2811	0
ENSG00000124588	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	2988221;2988880;2989762;2994165;2994165;3000110;3000208;3000223;3000231;3000236;3000392;3002284;3003903;3003903;3004401;3004729;3004729;3006702;3006702;3006702;3006702;3006702;3006702;3006702;3006702;3006702;3007050;3010259;3010259;3010259;3010259;3010259;3010259;3010259;3010259;3010259;3012778;3012778;3012778;3012778;3012778;3012778;3012778;3012778;3015764;3015764;3015764;3015764;3015764;3017118;3017118;3017118;3017118;3017118;3019713;3019713;3019713;3019713;3019713	2988265;2988943;2989944;2994287;2994287;3000319;3000319;3000319;3000319;3000319;3000601;3002520;3004023;3004023;3004493;3004885;3004885;3006793;3006793;3006793;3006793;3006793;3006793;3006793;3006793;3006793;3007169;3010423;3010423;3010423;3010423;3010423;3010423;3010423;3010423;3010423;3012908;3012908;3012908;3012908;3012908;3012908;3012908;3012795;3015877;3015877;3015877;3015877;3015877;3017219;3017219;3017219;3017219;3017219;3019996;3019989;3019996;3019989;3019996	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2451	2
ENSG00000224846	6;6;6;6	2989960;2989960;2998851;2999247	2990245;2990245;2998977;2999368	-;-;-;-	535	0
ENSG00000270346	6	3020388	3022984	+	2597	6
ENSG00000271361	6	3023376	3024006	-	631	0
ENSG00000261015	6	3025025	3027659	+	2635	0
ENSG00000232654	6	3045618	3046034	+	417	0
ENSG00000217707	6	3049069	3049445	+	377	0
ENSG00000229282	6;6	3056124;3056733	3056258;3056995	+;+	398	0
ENSG00000137275	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	3064225;3068658;3076998;3077032;3077058;3078013;3078013;3078013;3078013;3081213;3081213;3081213;3083319;3083319;3083319;3083319;3085493;3085493;3085493;3085493;3089815;3089815;3089815;3089815;3104459;3104459;3104459;3104459;3105716;3105716;3105716;3105716;3111037;3111037;3111037;3113287;3113287;3113287	3064293;3068895;3077221;3077221;3077221;3078169;3078169;3078169;3078169;3081350;3081350;3081350;3083547;3083547;3083547;3083547;3085642;3085642;3085642;3085642;3089891;3089891;3089891;3089891;3104549;3104549;3104549;3104549;3106285;3106285;3106285;3106285;3111189;3111189;3111189;3115421;3114802;3115419	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4231	18
ENSG00000272277	6	3068279	3069128	-	850	0
ENSG00000222248	6	3088920	3089043	-	124	0
ENSG00000137274	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	3118608;3118610;3118610;3118610;3118610;3118926;3118926;3118960;3118962;3119519;3119519;3119519;3119519;3119519;3123891;3123891;3123891;3123891;3123891;3123891;3123891;3123891;3123891;3127030;3127476;3127476;3127476;3127476;3127476;3127476;3127476;3127476;3129279;3129279;3129279;3129279;3129279;3129279;3129279;3129279;3129279;3137596;3137596;3137596;3137596;3137596;3137596;3137596;3137596;3137596;3138275;3138275;3138275;3138275;3138275;3140620;3140620;3140620;3140620;3140620;3140620;3140620;3140620;3140659;3150248;3152722;3152722;3152722;3152722;3152722;3152722;3152722;3152722;3152722;3152722;3152772	3118796;3119081;3119081;3119081;3119081;3119081;3119081;3119081;3119081;3119746;3119746;3119746;3119746;3119746;3124377;3123994;3123994;3123994;3123994;3123994;3123994;3123994;3123994;3127642;3127642;3127642;3127642;3127642;3127642;3127642;3127642;3127642;3129432;3129432;3129432;3129432;3129432;3129432;3129432;3129432;3129432;3137656;3137727;3137727;3137656;3137656;3137727;3137656;3137727;3137727;3138413;3140743;3138413;3138413;3138413;3140743;3140743;3140743;3140743;3140743;3140743;3140743;3140743;3140743;3150379;3153280;3152767;3153296;3153812;3152879;3153428;3153428;3153429;3152903;3152809;3153262	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5780	0
ENSG00000228170	6;6	3138628;3152753	3138778;3153296	-;-	695	0
ENSG00000137267	6;6;6;6;6;6;6;6	3153903;3154813;3155859;3155859;3156278;3156278;3157641;3157641	3155157;3155289;3155969;3155969;3156386;3156386;3157760;3157760	-;-;-;-;-;-;-;-	1727	2
ENSG00000216819	6;6;6	3177278;3179166;3179838	3177876;3179276;3179998	-;-;-	871	0
ENSG00000230269	6;6;6;6;6;6	3182978;3182978;3191061;3191061;3195900;3195900	3183960;3183960;3191491;3191464;3195990;3195981	-;-;-;-;-;-	1505	0
ENSG00000137285	6;6;6;6;6;6;6;6	3224495;3224517;3226393;3226393;3226795;3226795;3227721;3231791	3226045;3226045;3226503;3226503;3226903;3226903;3227969;3231964	-;-;-;-;-;-;-;-	2194	0
ENSG00000180822	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	3231637;3232041;3232063;3237569;3244327;3255285;3259128;3259131;3259186;3259195;3259211;3259218;3259294;3263918;3263918;3263918;3263918;3264408;3264443;3267825;3267825;3267825;3267825;3267825;3269750;3282470;3290033;3303092	3232396;3232396;3232145;3238099;3244487;3255463;3259430;3259430;3259430;3259430;3259430;3259430;3259430;3263993;3263993;3268284;3263993;3264559;3264559;3268154;3268015;3268013;3268283;3268015;3271069;3282564;3292218;3303607	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10418	4
ENSG00000137266	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	3269196;3269692;3272008;3272008;3273063;3273064;3273590;3276915;3283699;3284086;3284086;3284086;3284086;3284086;3284086;3284108;3285170;3285313;3285313;3285313;3285313;3285313;3285313;3285313;3287093;3287093;3287093;3287093;3287093;3287093;3287093;3287218;3289998;3289998;3289998;3289998;3289998;3289998;3289998;3289998;3290000;3298325;3298325;3298325;3298325;3298325;3298325;3298325;3298325;3298325;3323500;3323576;3323576;3324068;3324068;3324068;3324068;3324068;3324068;3324068;3324068;3324121;3324331;3324331;3378058;3410422;3410422;3410422;3410422;3410422;3410422;3410422;3410422;3415986;3415986;3415986;3415986;3415986;3415986;3415986;3415986;3432328;3438718;3439531;3445053;3445053;3445053;3456140;3456140;3456140;3456140	3273646;3273646;3273646;3272725;3273646;3273646;3273646;3277210;3284209;3284354;3284209;3284209;3284209;3284209;3284209;3284209;3285193;3285345;3285345;3285345;3285345;3285345;3285345;3285345;3287325;3287325;3287325;3287325;3287325;3287325;3287325;3287325;3290100;3290100;3290100;3290100;3290100;3290100;3290100;3290100;3290100;3298452;3298452;3298452;3298452;3298452;3298452;3298452;3298452;3298452;3323552;3324236;3324236;3324236;3324236;3324236;3324236;3324236;3324236;3324236;3324236;3324236;3324399;3324417;3378220;3410576;3410576;3410576;3410576;3410576;3410576;3410576;3410576;3416089;3416089;3416089;3416089;3416089;3416089;3416089;3416089;3432572;3438789;3439652;3445218;3445247;3445203;3456793;3456277;3456793;3457256	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8898	0
ENSG00000272320	6	3311896	3313884	+	1989	0
ENSG00000228793	6;6;6	3594481;3623882;3624778	3594769;3624177;3624981	-;-;-	789	0
ENSG00000270477	6	3694157	3694309	-	153	0
ENSG00000168994	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	3722848;3722854;3722854;3727785;3727785;3727785;3737313;3737313;3737313;3738291;3738291;3738296;3739030;3739030;3739292;3751510;3751510;3751510	3723970;3723970;3723970;3727896;3727896;3727896;3737430;3737430;3737430;3738382;3738382;3738382;3739203;3739128;3739395;3751763;3752260;3751766	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2474	0
ENSG00000270504	6	3751345	3754105	+	2761	0
ENSG00000219992	6;6	3754333;3754943	3754636;3755074	+;+	436	0
ENSG00000238158	6;6;6;6	3832167;3832167;3833849;3855704	3832245;3832245;3834130;3855971	+;+;+;+	629	0
ENSG00000145945	6;6;6	3849620;3849622;3850023	3851551;3849720;3851551	+;+;+	1932	2
ENSG00000233068	6;6;6;6	3893360;3893714;3894074;3894273	3893485;3893776;3894524;3894524	+;+;+;+	640	0
ENSG00000260604	6	3905144	3912213	-	7070	0
ENSG00000218472	6	3914156	3914526	-	371	0
ENSG00000217135	6	3922081	3922380	+	300	0
ENSG00000217566	6	3941516	3942035	+	520	0
ENSG00000216657	6	3978296	3979333	+	1038	0
ENSG00000145965	6	3982909	3984372	+	1464	0
ENSG00000272248	6	4018947	4019436	+	490	0
ENSG00000230648	6;6	4019077;4021278	4019113;4021449	-;-	209	0
ENSG00000112739	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	4021501;4021560;4021927;4031793;4031793;4031793;4037631;4037631;4037631;4037653;4041006;4041006;4041006;4041006;4041082;4041083;4042721;4042721;4042721;4042721;4042721;4042721;4044047;4044047;4044047;4044047;4044047;4044047;4047409;4047409;4047409;4047409;4047409;4049250;4049250;4049250;4049250;4049250;4049966;4049966;4049966;4049966;4049966;4052191;4052191;4052191;4052191;4052191;4052216;4052954;4052954;4052954;4052954;4052954;4052954;4056555;4056555;4056555;4056555;4056555;4056555;4056761;4057270;4057270;4057270;4057270;4057270;4057394;4058962;4058962;4058962;4058962;4058962;4058962;4058962;4060647;4060647;4060647;4060647;4060647;4060647;4061216;4061249;4061249;4061889;4061889;4061889;4061889;4062338;4062447;4062447;4062791;4062791;4062791;4063308;4063308;4063308;4063308;4063308;4065035;4065035;4065035	4021700;4021700;4022083;4032989;4032989;4032989;4037804;4037804;4037804;4037804;4041161;4041161;4041161;4041161;4041161;4041161;4042802;4042802;4042802;4042802;4042802;4042802;4044257;4044460;4044257;4044257;4044257;4044257;4047482;4047482;4047482;4047482;4047482;4049340;4049340;4049340;4049340;4049340;4050113;4050113;4050113;4050113;4050113;4052328;4052328;4052328;4052328;4052328;4052328;4053107;4053107;4053107;4053107;4053107;4053107;4057421;4056669;4056669;4056669;4056669;4056669;4056922;4057421;4057421;4057421;4057421;4057421;4057421;4059124;4059048;4059048;4059048;4059048;4059048;4059048;4060920;4061381;4060878;4060926;4062141;4062533;4061381;4061381;4061381;4062303;4062533;4061934;4061934;4062533;4062533;4062533;4062867;4062994;4062867;4063353;4063790;4063353;4063353;4065216;4065217;4065217;4065217	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8016	68
ENSG00000145975	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	4049668;4050663;4050695;4068596;4068601;4070125;4073509;4073509;4073509;4073509;4073526;4073667;4073667;4073667;4073667;4073692;4074677;4074677;4074677;4074811;4074811;4074811;4077589;4077589;4079086;4079086;4079086;4079086;4084812;4087244;4087244	4049849;4050752;4050785;4070154;4070154;4070154;4073576;4073576;4073576;4073576;4073576;4073741;4073741;4073741;4073741;4073741;4074690;4074690;4074690;4074895;4074895;4074895;4077682;4077682;4079455;4079334;4079368;4079455;4085044;4087578;4087566	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3138	0
ENSG00000252668	6	4076623	4076707	+	85	0
ENSG00000185689	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	4079440;4079443;4079451;4087583;4087631;4087658;4087673;4087673;4087673;4099234;4099234;4099234;4099234;4099234;4099234;4099234;4099234;4101545;4115641;4115688;4122166;4122183;4122183;4122183;4122183;4122183;4122183;4125194;4125213;4125213;4126146;4130376;4130376;4130376;4130376;4130376;4130376;4130719;4130719;4130719;4130719	4079914;4079914;4079914;4087960;4087960;4087960;4087960;4087960;4087960;4099432;4099432;4099432;4099432;4099432;4099432;4099432;4099432;4101595;4115897;4115804;4122280;4122280;4122280;4122280;4122280;4122280;4122280;4126353;4125640;4126353;4126353;4130569;4130595;4130516;4130595;4130595;4130595;4130992;4130999;4131185;4130998	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3322	0
